GUID,Name,Description,CVSS3.0,Network Zone,Exploit Code Maturity,Actively Exploited,Patch Available,Dark Web References,Risk Score,Risk Severity
9112cdf3-0b3d-4f64-bd7d-470b9f18aceb,CVE-2023-36872,VP9 Video Extensions Information Disclosure Vulnerability,9.8,internal,proof-of-concept,no,no,565,,
c3531579-2736-45ca-98d7-f49520b67e83,CVE-2023-36871,Azure Active Directory Security Feature Bypass Vulnerability,7.3,internal,proof-of-concept,yes,no,69,,
2fbf56ce-ebae-467a-b0a1-e42c5621c4a9,CVE-2023-3687,A vulnerability was found in Bylancer QuickVCard 2.1. It has been rated as critical. This issue affects some unknown processing of the file /blog of the component GET Parameter Handler. The manipulation of the argument s leads to sql injection. The attack may be initiated remotely. The identifier VDB-234233 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,6.4,public facing,proof-of-concept,no,yes,363,,
0a89b6f4-48e9-491e-b20d-119d6b803610,CVE-2023-36868,Azure Service Fabric on Windows Information Disclosure Vulnerability,9.8,public facing,non-existent,no,no,183,,
80a93085-b2de-48b6-851c-5eae8cf17580,CVE-2023-36867,Visual Studio Code GitHub Pull Requests and Issues Extension Remote Code Execution Vulnerability,7.1,internal,functional,no,no,162,,
76017ebb-9756-444d-ab0e-d9216e6f0d42,CVE-2023-36862,A downgrade issue affecting Intel-based Mac computers was addressed with additional code-signing restrictions. This issue is fixed in macOS Ventura 13.5. An app may be able to determine a user&#8217;s current location.,5.3,internal,functional,yes,yes,621,,
6e16ac8f-5e46-4d55-9c35-6a0cb1c28aaa,CVE-2023-3686,A vulnerability was found in Bylancer QuickAI OpenAI 3.8.1. It has been declared as critical. This vulnerability affects unknown code of the file /blog of the component GET Parameter Handler. The manipulation of the argument s leads to sql injection. The attack can be initiated remotely. The identifier of this vulnerability is VDB-234232. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,1.8,public facing,non-existent,no,no,619,,
ba43cb94-ebc2-4376-869b-e0cb6f8d440e,CVE-2023-36859,"PiiGAB M-Bus SoftwarePack 900S does not correctly sanitize user input, which could allow an attacker to inject arbitrary commands.",6.6,internal,proof-of-concept,yes,no,845,,
aa09316b-2138-4320-b712-3e7acef0648a,CVE-2023-36854,"The issue was addressed with improved checks. This issue is fixed in macOS Monterey 12.6.8, macOS Ventura 13.5, macOS Big Sur 11.7.9. Processing a file may lead to unexpected app termination or arbitrary code execution.",4.4,internal,non-existent,yes,yes,821,,
116b7d89-6305-43cd-82c0-28557d9314d0,CVE-2023-36853,"&#8203;In Keysight Geolocation Server v2.4.2 and prior, a low privileged attacker could create a local ZIP file containing a malicious script in any location. The attacker could abuse this to load a DLL with SYSTEM privileges.",4.5,public facing,functional,yes,yes,320,,
